en_1,english,"(If your robot has an external ROM chip, then that is the one that is pulled and replaced.",external,0.3379248
en_2,english,"(If your robot has an external ROM chip, then that is the one that is pulled and replaced.",pulled,0.40082374
en_3,english,"(If your robot has an external ROM chip, then that is the one that is pulled and replaced.",robot,0.3148452
en_4,english,"A bank holiday was declared in October, 1857 and Secretary of the Treasury Howell Cobb recommended the government selling revenue bonds and reducing the tariff (Tariff of 1857).",bank,0.31298497
en_5,english,"A bank holiday was declared in October, 1857 and Secretary of the Treasury Howell Cobb recommended the government selling revenue bonds and reducing the tariff (Tariff of 1857).",recommended,0.24878149
en_6,english,"A bank holiday was declared in October, 1857 and Secretary of the Treasury Howell Cobb recommended the government selling revenue bonds and reducing the tariff (Tariff of 1857).",declared,0.3091426
en_7,english,A continue statement will skip the remainder of the block and start at the controlling conditional statement again.,remainder,0.29569352
en_8,english,A continue statement will skip the remainder of the block and start at the controlling conditional statement again.,controlling,0.29604238
en_9,english,A continue statement will skip the remainder of the block and start at the controlling conditional statement again.,conditional,0.43614778
en_10,english,"A good introduction tells the student what will be covered, how it relates to what has gone before, and any specific prerequisite knowledge.",gone,0.25926197
en_11,english,"A good introduction tells the student what will be covered, how it relates to what has gone before, and any specific prerequisite knowledge.",prerequisite,0.3628596
en_12,english,"A good introduction tells the student what will be covered, how it relates to what has gone before, and any specific prerequisite knowledge.",relates,0.33109918
en_13,english,A more modern hardware character generator can be build around one of these small micro controllers (e.g.,micro,0.37745684
en_14,english,A more modern hardware character generator can be build around one of these small micro controllers (e.g.,controllers,0.34812424
en_15,english,A more modern hardware character generator can be build around one of these small micro controllers (e.g.,hardware,0.29872465
en_16,english,A pickup is a magnet wrapped in a coil of wire.,wrapped,0.34931055
en_17,english,A pickup is a magnet wrapped in a coil of wire.,coil,0.52338755
en_18,english,A pickup is a magnet wrapped in a coil of wire.,pickup,0.38825703
en_19,english,A positively or neutrally charged reagent that forms bonds by accepting electrons from a nucleophile.,reagent,0.45213884
en_20,english,A positively or neutrally charged reagent that forms bonds by accepting electrons from a nucleophile.,electrons,0.49757624
en_21,english,A positively or neutrally charged reagent that forms bonds by accepting electrons from a nucleophile.,neutrally,0.5294311
en_22,english,A smaller number of persons  undertake such a challenge and then discover that calculus is beautiful in and of itself.,beautiful,0.22634427
en_23,english,A smaller number of persons  undertake such a challenge and then discover that calculus is beautiful in and of itself.,undertake,0.31161097
en_24,english,A smaller number of persons  undertake such a challenge and then discover that calculus is beautiful in and of itself.,discover,0.28267062
en_25,english,"A third was apparently eliminated by an erstwhile Death Eater identified only as R.A.B., but this turns out in the seventh book to not have happened.",seventh,0.23391213
en_26,english,"A third was apparently eliminated by an erstwhile Death Eater identified only as R.A.B., but this turns out in the seventh book to not have happened.",eliminated,0.25912613
en_27,english,"A third was apparently eliminated by an erstwhile Death Eater identified only as R.A.B., but this turns out in the seventh book to not have happened.",erstwhile,0.39859983
en_28,english,A vector is a quantity which expresses both magnitude and direction.,magnitude,0.2965337
en_29,english,A vector is a quantity which expresses both magnitude and direction.,quantity,0.3602213
en_30,english,A vector is a quantity which expresses both magnitude and direction.,vector,0.31677344
